Date,ALL,é¿å¯çƒê∂éYêîB,é¿å¯çƒê∂éYêîN
2022/1/1,466.0,1.1672914714151827,1.1539727884052549
2022/1/2,432.0,1.1657339647008178,1.1691760322415574
2022/1/3,788.0,1.3504616619831393,1.2306479662907928
2022/1/4,1094.0,1.5180945347119645,1.2728421563552863
2022/1/5,2788.0,1.9179548156956006,1.4020642354758903
2022/1/6,4486.0,2.5548528338603744,1.576697109842413
2022/1/7,6553.0,2.57393056416615,1.7541597268186515
2022/1/8,8701.0,2.365228982195563,1.9291904094732242
2022/1/9,8173.0,1.9620039742277353,2.0354913424860714
2022/1/10,5734.0,1.5107076724901376,1.9919978191951224
2022/1/11,5704.0,1.293281772703557,1.9443835049438167
2022/1/12,15587.0,1.4638812651549469,1.8440185340960646
2022/1/13,21010.0,1.6958636892190133,1.729545306756083
2022/1/14,24054.0,1.6193345225526958,1.6153340679358
2022/1/15,29685.0,1.538537964232739,1.529574102244541
2022/1/16,26842.0,1.445724627092162,1.4803777584429672
2022/1/17,17134.0,1.2734863161341374,1.4567146179318395
2022/1/18,40477.0,1.358998880388132,1.501491302034361
2022/1/19,49182.0,1.488287052908239,1.4636126352189842
2022/1/20,53723.0,1.3793602572244248,1.4154367539435526
2022/1/21,55658.0,1.308646537162162,1.3771889117097305
2022/1/22,64249.0,1.2744455551085248,1.3412902701277802
2022/1/23,53768.0,1.2254850550603043,1.313668067242258
2022/1/24,33165.0,1.1398044033651733,1.2994561981138235
2022/1/25,83040.0,1.1753308736620676,1.2602850920658475
2022/1/26,81333.0,1.213333257191153,1.2257923354840479
2022/1/27,85957.0,1.1639191924335197,1.2005934685497568
2022/1/28,85060.0,1.1450477248338573,1.1799016915575944
2022/1/29,97543.0,1.1371393573506574,1.1621199292769602
2022/1/30,78473.0,1.1191992140937004,1.1497105139533788
2022/1/31,41836.0,1.064201159529571,1.139553650788949
2022/2/1,104520.0,1.0553665178645208,1.1148832942962859
2022/2/2,98644.0,1.0701157901966951,1.0993836001113648
2022/2/3,98205.0,1.0514318226899266,1.0829726532029282
2022/2/4,94722.0,1.0370080721851653,1.0686898796043662
2022/2/5,100921.0,1.0215793645671467,1.0503157936641672
2022/2/6,75151.0,1.0000912136794458,1.0348787575144693
2022/2/7,41653.0,0.9943222407791085,1.0301306365051235
2022/2/8,104336.0,0.9994022791568065,1.0188931021621281
2022/2/9,96408.0,0.9960574504411746,1.0092374011413545
2022/2/10,94100.0,0.989666445035461,1.001420654335739
2022/2/11,88421.0,0.982979934445106,0.9939260090076258
2022/2/12,40147.0,0.8895504790948655,0.9625973979688953
2022/2/13,78233.0,0.904005058320438,0.9656508484713097
2022/2/14,37773.0,0.9985228130969834,0.9637575202966425
2022/2/15,100079.0,0.9850229524128563,0.961660648506827
2022/2/16,93111.0,0.9859960179304361,0.960965952518832
2022/2/17,86501.0,0.9796397719564767,0.958866821388749
2022/2/18,73031.0,0.9567765443797662,0.9535761741139956
2022/2/19,77100.0,1.0411299629004416,1.0029571776263413
2022/2/20,60104.0,1.0369914026037828,0.9917111359512618
2022/2/21,30046.0,0.9526297661534403,0.9895645972903567
2022/2/22,83259.0,0.9534829514552804,0.9825328296521781
2022/2/23,83984.0,0.9500992361127137,0.9791345611082493
2022/2/24,35135.0,0.8797719178299996,0.9528077186800847
2022/2/25,72187.0,0.8943170892161327,0.960429577159837
2022/2/26,75539.0,0.99456692397534,0.9404329934077564
2022/2/27,54162.0,0.9830177789346219,0.9458734091264627
2022/2/28,28641.0,0.983311906308631,0.9489893283283907
2022/3/1,76998.0,0.98234909466006,0.9539680945791177
2022/3/2,71959.0,0.9577599807810916,0.9511692887952873
2022/3/3,61037.0,1.0325257942181574,0.9986189361093692
2022/3/4,55712.0,1.022736426760825,0.9883414689631012
