Date,ALL,é¿å¯çƒê∂éYêîB,é¿å¯çƒê∂éYêîB_7ïΩãœ,é¿å¯çƒê∂éYêîB_7TMA,é¿å¯çƒê∂éYêîN,é¿å¯çƒê∂éYêîN_7ïΩãœ,é¿å¯çƒê∂éYêîN_dì˙å„,é¿å¯çƒê∂éYêîNïΩãœ_dì˙å„,ä¥êıé“_7ì˙ïΩãœ,ä¥êıé“_TMA,dI(t)/dt
2022/1/9,8173.0,1.9620039742277355,1.9605552949712093,1.8858358996654532,2.0354913424860714,1.8679912066936235,1.8440185340960649,1.8129063825225,7848.285714285715,8929.816326530612,1959.8571428571431
2022/1/10,5734.0,1.5107076724901376,1.8378425600224435,1.8108319026573867,1.9919978191951224,1.8898266633955765,1.729545306756083,1.7336044419449137,10208.857142857143,10889.673469387755,2091.5714285714294
2022/1/11,5704.0,1.293281772703557,1.7014716969348072,1.7277163267337483,1.9443835049438167,1.869994426412312,1.6153340679358,1.6571354131930158,12709.0,12981.244897959185,2707.142857142857
2022/1/12,15587.0,1.4638812651549469,1.5833729800829752,1.6505299318242526,1.8440185340960649,1.8129063825225,1.529574102244541,1.5938650984916654,15706.714285714286,15688.387755102041,3131.5510204081656
2022/1/13,21010.0,1.695863689219013,1.509618787635036,1.5831084213697353,1.729545306756083,1.7336044419449137,1.4803777584429672,1.5395213986520824,18373.714285714286,18819.938775510207,3461.9387755102034
2022/1/14,24054.0,1.6193345225526958,1.4757300224413217,1.5267580479080092,1.6153340679358,1.6571354131930158,1.4567146179318395,1.494648748250292,20002.285714285714,22281.87755102041,3749.7551020408137
2022/1/15,29685.0,1.538537964232739,1.485118180681975,1.4835486551855268,1.529574102244541,1.5938650984916654,1.501491302034361,1.460628011646568,24969.85714285714,26031.632653061224,4026.897959183676
2022/1/16,26842.0,1.445724627092162,1.4886047217895884,1.4518208667250565,1.4803777584429672,1.5395213986520824,1.4636126352189842,1.4337303213441737,29769.14285714286,30058.5306122449,4195.4081632653
2022/1/17,17134.0,1.2734863161341374,1.4433899457903614,1.4261347063279273,1.4567146179318395,1.494648748250292,1.4154367539435526,1.4099146511726437,34442.42857142857,34253.9387755102,4289.918367346945
2022/1/18,40477.0,1.358998880388132,1.3990059478774282,1.4025615957999211,1.501491302034361,1.460628011646568,1.3771889117097305,1.387449162627213,38957.28571428572,38543.857142857145,4448.897959183676
2022/1/19,49182.0,1.488287052908239,1.361278460859683,1.373898993141086,1.4636126352189842,1.4337303213441737,1.3412902701277802,1.352991132631711,43895.0,42992.75510204082,4419.428571428565
2022/1/20,53723.0,1.3793602572244248,1.3298156648551325,1.339127011227753,1.4154367539435526,1.4099146511726437,1.313668067242258,1.3190168040981487,47741.57142857143,47412.183673469386,4409.653061224482
2022/1/21,55658.0,1.308646537162162,1.3107182487452802,1.3064175266042912,1.3771889117097305,1.387449162627213,1.2994561981138235,1.2883249061847493,50031.71428571428,51821.83673469387,4364.714285714297
2022/1/22,64249.0,1.2744455551085248,1.2844799620701275,1.2767098618392425,1.3412902701277802,1.352991132631711,1.2602850920658475,1.260141017591587,56112.142857142855,56186.551020408166,4338.795918367345
2022/1/23,53768.0,1.2254850550603045,1.2452008483962589,1.2495896707755476,1.313668067242258,1.3190168040981487,1.225792335484048,1.2345452546128983,60705.142857142855,60525.34693877551,4293.469387755096
2022/1/24,33165.0,1.1398044033651733,1.2144235534261294,1.2247950660601232,1.2994561981138235,1.2883249061847493,1.2005934685497568,1.2111227470002013,65310.0,64818.81632653061,4143.2653061224555
2022/1/25,83040.0,1.1753308736620676,1.1910522945220858,1.2011857403025223,1.2602850920658475,1.260141017591587,1.1799016915575944,1.1882795259537906,69510.28571428571,68962.08163265306,3713.0
