Date,ALL,ä¥êıé“_MAV,ä¥êıé“_TMA,é¿å¯çƒê∂éYêîC,é¿å¯çƒê∂éYêîK,é¿å¯çƒê∂éYêîK_7ïΩãœ,é¿å¯çƒê∂éYêîB,é¿å¯çƒê∂éYêîN,é¿å¯çƒê∂éYêîB_dì˙å„,é¿å¯çƒê∂éYêîN_dì˙å„
2022/1/1,466.0,587.2857142857143,943.5918367346939,2.065551799621759,1.9605648136369418,1.7887010414710747,1.470641213555371,1.2625008526449548,1.900753422490588,1.7867569259329188
2022/1/2,432.0,921.7142857142857,1399.734693877551,2.337441481887075,2.14656359539309,1.8546480261517428,1.660789347264757,1.3421687286506239,1.8776403712601577,1.8073885831080947
2022/1/3,788.0,1500.4285714285713,2009.4285714285713,2.4039767599140256,2.129552729474868,1.889726043314366,1.8293666994884603,1.4405033247286214,1.8253498353366382,1.7879538912391562
2022/1/4,1094.0,2372.4285714285716,2706.673469387755,2.2595410396883855,1.9337046379051424,1.8853180355089887,1.900753422490588,1.543602851760336,1.7755714890002132,1.742069970705837
2022/1/5,2788.0,3548.8571428571427,3482.755102040816,2.054746689002862,1.733206719343503,1.8350020068691024,1.8776403712601577,1.6421537004878128,1.7221530365005342,1.6882902667971191
2022/1/6,4486.0,4654.714285714285,4472.265306122449,1.9282405200846473,1.6523106154855347,1.751515770795453,1.8253498353366382,1.7276729435745344,1.6646866336945565,1.639418976522393
2022/1/7,6553.0,5361.285714285715,5716.326530612244,1.8626163608780961,1.6413231373238404,1.663569783284228,1.7755714890002132,1.7867569259329188,1.6082367393126322,1.5946208007626592
2022/1/8,8701.0,6019.857142857143,7192.979591836734,1.811425172548009,1.6083526131577384,1.594997226685128,1.7221530365005342,1.8073885831080947,1.5550472441783036,1.553089458721099
2022/1/9,8173.0,7848.285714285715,8929.816326530612,1.7623158636661131,1.562159942877544,1.5532057666715549,1.6646866336945565,1.7879538912391562,1.5180905813086096,1.5155521030664254
2022/1/10,5734.0,10208.857142857143,10889.673469387755,1.7027088777567219,1.5139308168962937,1.5242727065719195,1.6082367393126322,1.742069970705837,1.4947969035453466,1.4820142973940358
2022/1/11,5704.0,12709.0,12981.244897959185,1.6298631832350459,1.4536967417114415,1.4926948805038198,1.5550472441783036,1.6882902667971191,1.4693016373451513,1.4521488389048567
2022/1/12,15587.0,15706.714285714286,15688.387755102041,1.605628307545522,1.4406664992484923,1.4605294118443382,1.5180905813086096,1.639418976522393,1.4413478515277176,1.4256724985373725
2022/1/13,21010.0,18373.714285714286,18819.938775510207,1.5894154676284828,1.4497791947880854,1.4300797724829546,1.4947969035453466,1.5946208007626592,1.4129546315250552,1.3983464499293379
2022/1/14,24054.0,20002.285714285714,22281.87755102041,1.562673272626668,1.4202783548471443,1.4017836925295377,1.4693016373451513,1.553089458721099,1.3848122303638897,1.3702305540842978
2022/1/15,29685.0,24969.85714285714,26031.632653061224,1.5258748564501723,1.3831943325413665,1.3772975090551338,1.4413478515277176,1.5155521030664254,1.3577800186335598,1.34219081670921
2022/1/16,26842.0,29769.14285714286,30058.5306122449,1.4829525718058032,1.3490124673478583,1.350790663893267,1.4129546315250552,1.4820142973940358,1.3301801683529064,1.3147168169167986
2022/1/17,17134.0,34442.42857142857,34253.9387755102,1.4383230665866358,1.3158582572223745,1.3194056423811154,1.3848122303638897,1.4521488389048567,1.301040312236556,1.288132430405913
2022/1/18,40477.0,38957.28571428572,38543.857142857145,1.3946090300327165,1.2822934573906148,1.2887033174692994,1.3577800186335598,1.4256724985373725,1.272943531633906,1.2627712789247556
2022/1/19,49182.0,43895.0,42992.75510204082,1.357058583060806,1.2551185831154232,1.2603992222457714,1.3301801683529064,1.3983464499293379,1.2471072462964945,1.23865129508064
2022/1/20,53723.0,47741.57142857143,47412.183673469386,1.3209793227500695,1.2300840442030254,1.2345332456933205,1.301040312236556,1.3702305540842978,1.22360177052836,1.2160914941741996
2022/1/21,55658.0,50031.71428571428,51821.83673469387,1.2884675858257855,1.2053620804644347,1.2113586079070109,1.272943531633906,1.34219081670921,1.2025816183522078,1.1953219366196661
2022/1/22,64249.0,56112.142857142855,56186.551020408166,1.259612536856916,1.1850656659766694,1.1909440798487203,1.2471072462964945,1.3147168169167986,1.1838299604302334,1.176122624310356
2022/1/23,53768.0,60705.142857142855,60525.34693877551,1.234825851092196,1.1679506314807013,1.1718133490643718,1.22360177052836,1.288132430405913,1.1658855301759736,1.1582728478438962
2022/1/24,33165.0,65310.0,64818.81632653061,1.2137961899193488,1.153635792718208,1.153700016605748,1.2025816183522078,1.2627712789247556,1.148592969621206,1.1413832880459596
