Date,ALL,éÄé“êî,ä¥êıé“_7ì˙ïΩãœ,éÄñSé“_7ì˙ïΩãœ,ívéÄó¶
2022/1/8,8701.0,2.0,6019.857142857143,1.4285714285714286,0.0049360449939485984
2022/1/9,8173.0,1.0,7848.285714285715,2.0,0.0043685609232225414
2022/1/10,5734.0,2.0,10208.857142857143,2.2857142857142856,0.003624303825809521
2022/1/11,5704.0,2.0,12709.0,3.4285714285714284,0.0030349695941009184
2022/1/12,15587.0,5.0,15706.714285714286,4.0,0.0028468261980772558
2022/1/13,21010.0,2.0,18373.714285714286,4.142857142857143,0.0027290539279716365
2022/1/14,24054.0,10.0,20002.285714285717,4.142857142857143,0.0028425322820249104
2022/1/15,29685.0,6.0,24969.85714285714,5.285714285714286,0.0025516479870014708
2022/1/16,26842.0,2.0,29769.14285714286,6.428571428571429,0.0025385826167076166
2022/1/17,17134.0,2.0,34442.42857142857,7.857142857142857,0.0023268642911359327
2022/1/18,40477.0,10.0,38957.28571428572,7.714285714285714,0.0024018980495121023
2022/1/19,49182.0,13.0,43895.0,8.571428571428571,0.0023334906351195226
2022/1/20,53723.0,12.0,47741.57142857143,10.571428571428571,0.0023818714447726005
2022/1/21,55658.0,9.0,50031.71428571428,12.714285714285714,0.002521257944960625
2022/1/22,64249.0,12.0,56112.142857142855,16.428571428571427,0.0023804371348193033
2022/1/23,53768.0,16.0,60705.142857142855,20.285714285714285,0.0022450439595609693
2022/1/24,33165.0,17.0,65310.0,24.714285714285715,0.0022836144103943828
2022/1/25,83040.0,36.0,69510.28571428571,29.714285714285715,0.002174395567356938
2022/1/26,81333.0,40.0,74266.57142857143,34.285714285714285,0.002171713480012157
2022/1/27,85957.0,43.0,77795.85714285714,37.0,0.0022531497270328387
2022/1/28,85060.0,44.0,79034.57142857143,38.57142857142857,0.0023407478101807166
2022/1/29,97543.0,44.0,82103.14285714286,44.71428571428572,0.0024168206541597508
2022/1/30,78473.0,35.0,84576.14285714286,50.142857142857146,0.002445809608586008
2022/1/31,41836.0,28.0,86325.85714285714,56.85714285714285,0.0024458819655094237
2022/2/1,104520.0,79.0,87706.14285714286,63.71428571428572,0.0024806863177852015
2022/2/2,98644.0,78.0,88188.71428571429,75.57142857142857,0.0025724056042156353
2022/2/3,98205.0,90.0,87714.14285714286,80.14285714285714,0.00260261010197085
2022/2/4,94722.0,92.0,87688.0,93.57142857142856,0.002578948740339125
2022/2/5,100921.0,127.0,87661.71428571429,102.42857142857144,0.0026106852315394245
2022/2/6,75151.0,67.0,87342.28571428571,113.71428571428572,0.0027118267047870777
2022/2/7,41653.0,122.0,86755.85714285714,126.14285714285714,0.002718630771738755
2022/2/8,104336.0,141.0,85855.71428571429,133.57142857142858,0.002763773107705619
2022/2/9,96408.0,157.0,77173.71428571429,136.28571428571428,0.0029950982569934993
2022/2/10,94100.0,177.0,77614.0,149.14285714285714,0.0029247300744711007
2022/2/11,88421.0,144.0,77059.71428571429,151.14285714285714,0.0029976752722378564
2022/2/12,40147.0,146.0,76451.57142857143,161.28571428571428,0.003021520626503052
2022/2/13,78233.0,157.0,75980.57142857143,175.28571428571428,0.0028992373990343392
2022/2/14,37773.0,136.0,74895.0,185.0,0.0028783153557838115
2022/2/15,100079.0,212.0,72696.42857142857,198.42857142857144,0.0028160157209530827
2022/2/16,93111.0,255.0,77975.42857142857,206.8571428571429,0.002623537084942509
2022/2/17,86501.0,245.0,75385.57142857143,211.14285714285717,0.0026568176176191348
2022/2/18,73031.0,238.0,74281.71428571429,217.57142857142856,0.0026078327294546625
2022/2/19,77100.0,205.0,71878.85714285714,226.8571428571429,0.0025121633224154923
2022/2/20,60104.0,187.0,70575.0,228.28571428571428,0.002524163756894894
2022/2/21,30046.0,181.0,63237.0,226.14285714285717,0.0027673672059079337
2022/2/22,83259.0,277.0,63116.42857142857,228.8571428571429,0.0027568099770265836
2022/2/23,83984.0,265.0,62893.42857142857,236.8571428571429,0.0026507425259055
2022/2/24,35135.0,230.0,62044.57142857143,235.8571428571429,0.0025764887914678848
2022/2/25,72187.0,257.0,61843.857142857145,237.28571428571428,0.002476282434795464
2022/2/26,75539.0,261.0,60949.42857142857,231.14285714285717,0.0024938707968667232
2022/2/27,54162.0,180.0,59231.57142857143,227.0,0.0024649016812944833
2022/2/28,28641.0,191.0,62931.857142857145,231.0,0.0022087382497622144
2022/3/1,76998.0,234.0,60578.28571428572,231.0,0.0021742821567369733
2022/3/2,71959.0,236.0,58380.57142857143,220.28571428571428,0.0019869623945343853
2022/3/3,61037.0,258.0,57213.28571428572,215.57142857142856,0.001912642667911799
2022/3/4,55712.0,257.0,56345.57142857143,204.7142857142857,0.001853358991326483
2022/3/5,60155.0,186.0,54687.57142857143,204.57142857142856,0.001802446625375836
2022/3/6,45991.0,147.0,53467.142857142855,200.28571428571428,0.0017661046837844341
2022/3/7,22567.0,115.0,52521.0,193.7142857142857,0.0017761602841856452
2022/3/8,65392.0,233.0,51554.28571428572,180.57142857142856,0.0018288627798714251
